LANDMARK_ID,LANDMARK_ID,DISTANCE
L0014196,L0003350,15874
L0014900,L0012098,1269
L0005719,L0009833,10707
L0005728,L0007591,11328
L0015433,L0012735,4868
L0012392,L0002677,377
L0000638,L0002144,9734
L0003503,L0006065,8248
L0013153,L0006635,10050
L0014609,L0001619,10497
L0001026,L0008048,5760
L0011033,L0012292,5495
L0008597,L0014713,14396
L0006611,L0013114,1221
L0011097,L0011583,10180
L0001160,L0014287,13162
L0003605,L0008076,2992
L0010645,L0011059,11790
L0014764,L0015240,9376
L0009183,L0002353,3520
L0006385,L0012810,358
L0009540,L0011587,13676
L0011031,L0015773,15074
L0005233,L0003427,14964
L0001293,L0005199,2908
L0004317,L0011304,11982
L0011781,L0000300,14814
L0006416,L0011789,13760
L0004640,L0006247,8522
L0001597,L0015847,3889
L0002689,L0011701,4881
L0013802,L0010797,6927
L0010296,L0015897,5929
L0009272,L0008582,2512
L0008491,L0001001,3135
L0004962,L0001059,12029
L0007914,L0012229,5783
L0008763,L0001580,10326
L0007070,L0008493,13062
L0005541,L0008054,593
L0004561,L0007664,6282
L0001967,L0005684,1299
L0003826,L0015602,2394
L0013139,L0009274,6770
L0003248,L0006032,4317
L0004648,L0003423,9555
L0006576,L0015591,7194
L0003017,L0006229,1634
L0006637,L0011205,7005
L0001605,L0013460,3760
L0013273,L0006004,7777
L0012202,L0010076,9952
L0003735,L0014001,15442
L0002197,L0010811,10423
L0000098,L0012488,10088
L0012151,L0006625,13450
L0004058,L0011598,10983
L0001193,L0013454,10323
L0000314,L0015805,801
L0011745,L0012246,5877
L0000994,L0007553,2066
L0006162,L0001491,5902
L0003431,L0001169,337
L0009963,L0010770,6585
L0014030,L0009857,14868
L0004149,L0009267,6547
L0008043,L0009753,6361
L0010414,L0014492,8228
L0001950,L0000770,10444
L0006473,L0009634,8445
L0000346,L0005021,9028
L0008399,L0001110,7073
L0008686,L0007629,1959
L0001409,L0006088,658
L0001782,L0005578,4815
L0014989,L0014496,15882
L0007221,L0005480,758
L0005056,L0003290,13124
L0007432,L0011103,12639
L0001055,L0015602,15671
L0011484,L0001966,87
L0000699,L0007075,13011
L0014003,L0014593,16143
L0004192,L0009563,12000
L0008435,L0014634,12298
L0010113,L0000387,4672
L0013700,L0005616,11623
L0008249,L0007238,2477
L0012741,L0015556,15995
L0016149,L0000015,948
L0011717,L0008551,7091
L0013152,L0014934,13716
L0006188,L0012240,5906
L0008899,L0014565,11338
L0006005,L0006966,7621
L0012139,L0009278,463
L0004628,L0007570,5778
L0012951,L0011961,13837
L0015388,L0003775,3285
L0000346,L0005783,8758
L0001897,L0001680,15770
L0006274,L0000667,11142
L0007458,L0003727,10027
L0007637,L0011557,9895
L0007113,L0000887,14921
L0010635,L0005962,6407
L0012069,L0010309,7376
L0012331,L0007996,303
L0016277,L0008658,14499
L0007772,L0011107,4535
L0008639,L0012304,16002
L0005606,L0003954,11162
L0001379,L0000411,16119
L0011827,L0003885,12380
L0009681,L0013408,11143
L0005397,L0010010,13689
L0015208,L0010070,9680
L0005030,L0011332,3371
L0006448,L0008067,4106
L0003029,L0008007,7402
L0008702,L0015700,12014
L0016127,L0012203,11944
L0004302,L0008693,8118
L0002836,L0013145,14097
L0013640,L0006850,3340
L0015268,L0004388,11184
L0007813,L0000164,1697
L0015446,L0001481,4466
L0005508,L0002822,4531
L0012044,L0012090,11232
L0005222,L0005509,10766
L0003947,L0015118,13225
L0000206,L0012718,14042
L0015239,L0013370,11453
L0010862,L0009540,9182
L0003349,L0008616,16294
L0014298,L0003569,10867
L0010722,L0006940,5734
L0008588,L0003747,5281
L0014988,L0010961,11326
L0007123,L0008131,14314
L0012181,L0010444,2230
L0013443,L0003827,4995
L0014081,L0009120,797
L0001814,L0002061,9005
L0012744,L0004487,1561
L0007040,L0010639,6397
L0001128,L0004536,8120
L0001310,L0009061,1778
L0002439,L0005378,9326
L0010415,L0015120,6778
L0014861,L0015375,9264
L0012842,L0010202,4326
L0006081,L0012247,1470
L0016054,L0007034,2173
L0012624,L0011631,14259
L0010880,L0015511,15144
L0001025,L0001834,6625
L0007166,L0012670,8730
L0003800,L0007679,12240
L0003825,L0002182,3747
L0012009,L0000917,7216
L0009089,L0014582,8672
L0014283,L0003345,100
L0008567,L0008826,6453
L0000135,L0002973,11480
L0008852,L0012618,14814
L0008614,L0000838,11999
L0006973,L0007790,1468
L0009019,L0002656,6643
L0013917,L0002293,5772
L0004303,L0013485,890
L0015319,L0008744,5331
L0005388,L0002400,14908
L0007060,L0014427,3739
L0001764,L0001531,15068
L0010024,L0011425,13634
L0000540,L0003739,13571
L0005733,L0003459,3608
L0002698,L0002638,10962
L0012227,L0014851,11756
L0000726,L0003599,15944
L0007675,L0012199,11846
L0001490,L0010974,6847
L0009280,L0012666,16336
L0004122,L0012141,9601
L0015382,L0009036,6443
L0013371,L0006156,3688
L0013587,L0006776,5290
L0007887,L0003118,9011
L0009091,L0009518,6300
L0002094,L0009536,13584
L0007495,L0011591,12978
L0015352,L0000346,10186
L0004692,L0015978,8134
L0002550,L0010653,2920
L0005861,L0008947,11861
L0005524,L0005315,14142
L0004727,L0001404,7732
L0013753,L0000902,13688
L0009307,L0002859,9149
L0001704,L0000867,1065
L0007634,L0000803,14380
L0001556,L0013651,1555
L0004813,L0002606,11466
L0014017,L0010064,8835
L0010685,L0002562,13399
L0007006,L0002496,5362
L0004711,L0006746,7384
L0016004,L0011463,5637
L0002524,L0004546,3155
L0003699,L0010764,3050
L0003512,L0000449,13570
L0003666,L0009097,2770
L0005509,L0012276,3380
L0009210,L0008925,1428
L0004888,L0002667,5485
L0014112,L0012501,14902
L0008507,L0010872,2657
L0011780,L0005015,7998
L0013561,L0005287,15199
L0014072,L0016248,5411
L0001438,L0002901,7849
L0007310,L0006565,2553
L0007922,L0014169,1698
L0003170,L0014687,14119
L0012713,L0009393,1915
L0010381,L0008086,12864
L0011967,L0002508,1495
L0016001,L0004510,5891
L0010713,L0012315,5979
L0014764,L0009145,8449
L0009743,L0007217,12442
L0002471,L0008434,12703
L0007985,L0010882,108
L0000029,L0016079,2668
L0000647,L0004612,15202
L0012278,L0009115,7735
L0011167,L0006019,11753
L0013947,L0010879,6076
L0011132,L0007352,3774
L0009201,L0010749,12880
L0012093,L0008571,7222
L0011812,L0002213,9081
L0013528,L0010278,11780
L0012497,L0014567,5536
L0009954,L0013475,6517
L0006164,L0003987,7320
L0010145,L0009501,2230
L0006786,L0014454,15308
L0005077,L0013409,1634
L0013454,L0004183,4858
L0006846,L0011116,6127
L0002250,L0014225,2982
L0003250,L0013173,2610
L0000360,L0004330,15925
L0010599,L0002712,6212
L0003965,L0001206,7520
L0004673,L0001221,12039
L0003587,L0004716,4840
L0009876,L0007589,2337
L0001553,L0004835,7896
L0009507,L0009527,1175
L0012665,L0007048,11953
L0013677,L0005786,4151
L0008872,L0012071,408
L0009475,L0003263,9065
L0015795,L0015676,6271
L0015268,L0011787,1432
L0002081,L0006235,12848
L0000925,L0010240,1853
L0003023,L0012626,15780
L0006403,L0002687,317
L0005122,L0000313,6264
L0009758,L0004703,6478
L0001701,L0000737,13676
L0000171,L0013310,9698
L0000097,L0015003,14312
L0007192,L0005256,14685
L0009386,L0000339,7157
L0010771,L0000611,9420
L0000594,L0016319,7431
L0012964,L0009461,8831
L0007867,L0013131,13775
L0004971,L0000465,15860
L0012347,L0005152,5181
L0006311,L0016381,11186
L0000454,L0006168,16002
L0007717,L0011956,11633
L0008737,L0009239,13165
L0012324,L0002525,7377
L0008242,L0005363,1902
L0007661,L0015752,13971
L0004705,L0005196,1899
L0000839,L0011823,4618
L0012879,L0012948,6908
L0004236,L0006113,10337
L0004359,L0010670,1143
L0001188,L0003664,11764
L0002182,L0002789,3093
L0004753,L0008636,10339
L0012679,L0000352,10574
L0003354,L0001502,10174
L0002009,L0010963,2145
L0011838,L0000703,5837
L0009263,L0005895,2679
L0015665,L0005808,13349
L0008247,L0013024,1509
L0006075,L0014642,15013
L0004933,L0008179,2577
L0000804,L0013901,439
L0009219,L0009788,8295
L0003549,L0007453,8724
L0009115,L0009981,2729
L0007047,L0011138,8680
L0011134,L0013055,1222
L0011894,L0014223,5755
L0014646,L0003949,560
L0003611,L0002997,10558
L0008722,L0008021,4160
L0003358,L0010197,7812
L0014143,L0001126,12609
L0012059,L0002733,7649
L0006609,L0009995,12305
L0011253,L0012867,2197
L0013853,L0009152,282
L0010032,L0010077,15098
L0001625,L0015336,3827
L0000473,L0006370,3731
L0002349,L0007147,4684
L0002529,L0014822,7071
L0013797,L0003685,2387
L0000993,L0003552,10969
L0013916,L0012112,207
L0000361,L0007487,10352
L0011676,L0002963,6326
L0000034,L0011319,7568
L0008113,L0011113,6416
L0009220,L0002648,10435
L0003109,L0012201,8175
L0005453,L0008415,16092
L0003548,L0002573,271
L0015526,L0014598,3972
L0006302,L0013033,15252
L0000893,L0001891,7873
L0004020,L0012169,13063
L0000661,L0015572,13112
L0002763,L0011588,4655
L0003054,L0004397,16300
L0011740,L0009399,11509
L0009175,L0006461,5152
L0006711,L0011274,15927
L0014709,L0005689,10422
L0000159,L0013017,13434
L0002946,L0006373,16278
L0007719,L0001176,875
L0000967,L0012995,7402
L0006965,L0009179,4451
L0009887,L0007930,9143
L0007244,L0009095,12585
L0008939,L0004644,2949
L0012155,L0012854,6177
L0004916,L0004677,15649
L0011450,L0015202,4955
L0013666,L0009620,7910
L0012458,L0011517,12598
L0010170,L0007312,15182
L0001696,L0014181,15574
L0000677,L0011343,10993
L0003217,L0008658,5967
L0009252,L0014424,13667
L0000064,L0013075,11367
L0001000,L0002533,14144
L0015659,L0004986,15386
L0001991,L0005321,15850
L0015292,L0006406,13979
L0007015,L0008678,11158
L0005155,L0004749,14654
L0008430,L0005742,4031
L0007035,L0012806,14257
L0005926,L0010332,6761
L0013466,L0004652,3575
L0000058,L0010792,13509
L0003716,L0007002,11846
L0003267,L0004004,8806
L0004302,L0010662,11436
L0007589,L0014578,13251
L0009710,L0012532,6732
L0009895,L0011082,13148
L0001729,L0000646,369
L0005177,L0009880,13682
L0015879,L0009493,12701
L0004201,L0000008,15504
L0012437,L0011603,8535
L0004924,L0005207,6498
L0008583,L0009971,13314
L0013963,L0011683,12989
L0009456,L0007699,992
L0005692,L0006743,3438
L0002083,L0006001,11304
L0006125,L0000283,8381
L0011429,L0003882,3041
L0016020,L0013877,7224
L0013080,L0009693,16224
L0008360,L0007204,13049
L0013822,L0002805,7320
L0013016,L0004500,8996
L0007936,L0011040,7024
L0007227,L0000326,14629
L0003920,L0000311,7334
L0015139,L0007459,15179
L0007916,L0000304,991
L0008296,L0002049,3937
L0005881,L0000336,15405
L0012196,L0003992,1577
L0007530,L0009189,15574
L0011995,L0002196,5260
L0001087,L0007534,8811
L0005401,L0004948,8201
L0006952,L0001931,1599
L0016188,L0012164,4159
L0000139,L0010751,10732
L0002774,L0012793,10002
L0009213,L0005426,5236
L0015399,L0003108,15151
L0000255,L0011697,9966
L0016044,L0016295,16206
L0001856,L0014029,8132
L0002163,L0002495,5102
L0011235,L0014726,14130
L0008491,L0002898,10486
L0014387,L0016155,13176
L0002998,L0013049,7927
L0008790,L0006014,2017
L0014651,L0000347,1431
L0003317,L0003672,3366
L0000532,L0010006,15190
L0013000,L0008043,12719
L0004696,L0005177,2719
L0000732,L0006751,8689
L0010756,L0014428,11152
L0006118,L0008066,537
L0006363,L0009158,13236
L0013426,L0013041,7223
L0008817,L0006594,11191
L0000624,L0001056,748
L0001709,L0011116,10645
L0008427,L0002202,2337
L0007823,L0013451,9344
L0000268,L0007707,6909
L0015727,L0003566,16132
L0011162,L0009426,6102
L0002588,L0004706,8183
L0010472,L0007967,14063
L0002484,L0011818,4041
L0015290,L0012491,13574
L0011969,L0015381,11639
L0006457,L0004816,5462
L0005472,L0006215,1616
L0004532,L0008784,6570
L0007777,L0001640,6811
L0006272,L0014956,10420
L0008033,L0014389,14412
L0002459,L0008396,10442
L0005058,L0011154,10554
L0003882,L0008076,7643
L0007843,L0006783,2083
L0012963,L0012973,2627
L0013863,L0001503,15202
L0006688,L0005579,4433
L0013152,L0014703,1274
L0000059,L0006536,2966
L0009376,L0014283,7280
L0007465,L0002877,3602
L0010673,L0006366,12703
L0000029,L0009922,15584
L0003238,L0014014,5008
L0009329,L0011935,11103
L0012603,L0001578,15892
L0003212,L0000455,12282
L0013160,L0009000,3711
L0005868,L0001920,9245
L0015680,L0000746,7125
L0008627,L0015433,7948
L0014558,L0003220,15133
L0006001,L0002340,8800
L0015799,L0009838,12302
L0013356,L0001839,16086
L0000980,L0011572,12087
L0016096,L0013511,9071
L0006232,L0014667,11669
L0014410,L0011213,516
L0010501,L0004670,1891
L0013841,L0000848,2521
L0001691,L0005708,5691
L0000792,L0008477,9420
L0010918,L0006113,3111
L0001046,L0013865,3680
L0008438,L0008741,8061
L0004719,L0016005,16249
L0000893,L0000393,13435
L0012716,L0007536,15973
L0000928,L0009415,3924
L0012050,L0013805,5024
L0008353,L0007046,2676
L0015674,L0008453,5321
L0003045,L0010971,13013
L0005846,L0003126,6661
L0000343,L0012551,346
L0015992,L0005074,6436
L0011003,L0006463,6587
L0014141,L0014779,3613
L0010522,L0004255,10097
L0003107,L0012880,14509
L0004611,L0015660,4486
L0004062,L0012322,8603
L0002851,L0011361,1679
L0006178,L0005146,1448
L0008580,L0000544,5869
L0014907,L0009903,9144
L0015278,L0009900,4244
L0016208,L0004979,2659
L0001918,L0001850,9944
L0009231,L0010193,949
L0002211,L0011706,6196
L0004561,L0010853,15456
L0011993,L0012892,12945
L0006596,L0002638,2768
L0015013,L0008075,2471
L0008886,L0005534,4832
L0010164,L0010137,9125
L0007933,L0003987,9601
L0005463,L0001019,6441
L0009911,L0003720,6341
L0009689,L0011759,10315
L0010112,L0005038,2730
L0002531,L0004322,9486
L0000075,L0006503,11453
L0002661,L0009835,10694
L0006159,L0008857,1545
L0006880,L0003441,4002
L0000537,L0003607,554
L0012092,L0000564,5868
L0015129,L0012692,966
L0003131,L0006734,15514
L0001365,L0015541,14646
L0010488,L0004515,11030
L0008764,L0004175,14921
L0008318,L0014437,2175
L0000244,L0015147,12567
L0013569,L0003127,15478
L0010186,L0002160,11391
L0014685,L0000125,22
L0005252,L0003309,12844
L0000699,L0012427,13245
L0013157,L0008545,12365
L0011893,L0006392,16235
L0003959,L0009623,8041
L0015575,L0002756,5668
L0015729,L0005715,3164
L0013238,L0000807,8036
L0011625,L0005322,12699
L0005739,L0001954,3596
L0006784,L0005616,11757
L0014579,L0014046,7571
L0013450,L0011550,6093
L0001609,L0004543,4637
L0003757,L0009519,3700
L0009034,L0005547,3934
L0016375,L0014509,5394
L0004310,L0009758,10008
L0004512,L0014248,4375
L0010873,L0009706,12695
L0012508,L0011360,15737
L0004603,L0015061,11416
L0009813,L0002501,13005
L0000532,L0005632,2308
L0011636,L0014184,4908
L0004595,L0005430,9998
L0008614,L0014296,6544
L0007618,L0009400,12871
L0007268,L0009226,11134
L0002979,L0002499,8401
L0013793,L0013467,5864
L0000649,L0012454,4109
L0008248,L0005542,14050
L0007049,L0011575,7031
L0005725,L0011870,14453
L0009075,L0010289,13149
L0008234,L0009084,10606
L0015841,L0006639,11218
L0001495,L0006392,4887
L0008151,L0005582,5717
L0004423,L0001664,3937
L0006628,L0015510,1467
L0006197,L0012849,15845
L0010371,L0013512,7317
L0012621,L0011136,15075
L0015840,L0016273,8999
L0008509,L0015038,9820
L0001552,L0000943,9144
L0006025,L0001453,13616
L0012947,L0010548,8647
L0000129,L0003030,6802
L0008438,L0008144,246
L0009766,L0011495,12580
L0006799,L0014274,1991
L0009882,L0006861,3934
L0000575,L0009769,14237
L0010426,L0004360,2827
L0014693,L0006227,3889
L0008261,L0012680,3917
L0013859,L0013730,4786
L0008633,L0000245,13988
L0001978,L0013851,5273
L0012535,L0012078,12918
L0002996,L0001382,2922
L0001730,L0011076,1506
L0000114,L0002329,13634
L0002790,L0010192,2343
L0013546,L0004330,13180
L0001425,L0013821,5677
L0012150,L0007184,3706
L0005904,L0011636,5831
L0012784,L0008424,10892
L0012548,L0001420,1968
L0015779,L0016382,2261
L0002420,L0012671,7080
L0009159,L0005594,10374
L0010908,L0007652,14171
L0016339,L0016028,15611
L0015699,L0011738,15423
L0008938,L0010090,7271
L0001286,L0004153,10897
L0003123,L0016117,599
L0002570,L0008117,5034
L0002811,L0014818,1687
L0002208,L0002258,15268
L0003446,L0003407,14537
L0001044,L0013581,6103
L0016110,L0005735,11887
L0009514,L0001999,6012
L0004731,L0007453,6814
L0007498,L0003912,8554
L0012871,L0015317,12423
L0006678,L0006252,11370
L0010913,L0000367,14733
L0002486,L0015521,6021
L0003179,L0012012,5210
L0012869,L0003243,14103
L0011687,L0003594,7627
L0016122,L0011374,14595
L0002745,L0007279,8378
L0000460,L0003226,13302
L0006023,L0009122,15199
L0010105,L0000420,1826
L0010774,L0000902,14053
L0011296,L0009075,4242
L0012004,L0001563,14287
L0009348,L0007046,15645
L0011673,L0013499,2349
L0014629,L0001706,12401
L0000742,L0013704,5594
L0012379,L0015292,12071
L0013285,L0010018,9253
L0003641,L0013501,2432
L0011824,L0004917,9426
L0015400,L0002867,4222
L0016218,L0006105,6466
L0003638,L0013609,4844
L0001562,L0013405,3327
L0003933,L0012230,2803
L0000126,L0010491,2919
L0003018,L0000641,13206
L0004390,L0013302,7293
L0003521,L0007174,12196
L0000030,L0003203,10980
L0015111,L0007232,11798
L0004824,L0012562,6098
